URL	Question	Option A	Option B	Option C	Option D	Prompt	GT	GenR
https://cwe.mitre.org/data/definitions/778.html	Which architectural phase mitigation is recommended for CWE-778?	Use a centralized logging mechanism that supports multiple levels of detail.	Use encryption to protect the log data.	Implement data validation routines.	Deploy regular security patches.	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which architectural phase mitigation is recommended for CWE-778?  **Options:** A) Use a centralized logging mechanism that supports multiple levels of detail. B) Use encryption to protect the log data. C) Implement data validation routines. D) Deploy regular security patches.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	C
https://attack.mitre.org/techniques/T1037/004/	What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022)	Employ system cryptographic signatures	Restrict the use of administrative tools	Restrict File and Directory Permissions	Utilize network segmentation	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022)  **Options:** A) Employ system cryptographic signatures B) Restrict the use of administrative tools C) Restrict File and Directory Permissions D) Utilize network segmentation  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	B
https://attack.mitre.org/techniques/T1430/002/	In the context of MITRE ATT&CK for Mobile, what primary method do adversaries use when exploiting Technique T1430.002: Location Tracking: Impersonate SS7 Nodes?	By modifying the firmware of the mobile device	By sending phishing messages to the victim	By exploiting the lack of authentication in signaling system network nodes	By installing malware on the victim's device	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK for Mobile, what primary method do adversaries use when exploiting Technique T1430.002: Location Tracking: Impersonate SS7 Nodes?  **Options:** A) By modifying the firmware of the mobile device B) By sending phishing messages to the victim C) By exploiting the lack of authentication in signaling system network nodes D) By installing malware on the victim's device  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://cwe.mitre.org/data/definitions/1293.html	In the context of CWE-1293, what is the main consequence of relying on a single source of data?	Technical Impact: Exfiltrate Data	Technical Impact: Tamper with Data	Technical Impact: Read and Modify Data	Technical Impact: Denial of Service	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of CWE-1293, what is the main consequence of relying on a single source of data?  **Options:** A) Technical Impact: Exfiltrate Data B) Technical Impact: Tamper with Data C) Technical Impact: Read and Modify Data D) Technical Impact: Denial of Service  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	B
http://capec.mitre.org/data/definitions/644.html	What is a primary prerequisite for a successful CAPEC-644 attack?	The adversary possesses a zero-day exploit.	The target system uses strict access controls.	The system/application uses multi-factor authentication.	The system/application leverages Lan Man or NT Lan Man authentication protocols.	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is a primary prerequisite for a successful CAPEC-644 attack?  **Options:** A) The adversary possesses a zero-day exploit. B) The target system uses strict access controls. C) The system/application uses multi-factor authentication. D) The system/application leverages Lan Man or NT Lan Man authentication protocols.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	A
https://attack.mitre.org/techniques/T1087/002/	Which PowerShell cmdlet mentioned in T1087.002 can be used to enumerate members of Active Directory groups?	Get-NetDomainMember	Get-ADComputer	Get-ADUser	Get-ADGroupMember	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which PowerShell cmdlet mentioned in T1087.002 can be used to enumerate members of Active Directory groups?  **Options:** A) Get-NetDomainMember B) Get-ADComputer C) Get-ADUser D) Get-ADGroupMember  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	B
http://capec.mitre.org/data/definitions/560.html	Which mitigation technique is NOT recommended to protect against CAPEC-560 attacks?	Leverage multi-factor authentication.	Implement an intelligent password throttling mechanism.	Reuse local administrator account credentials across systems.	Create a strong password policy and enforce it.	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation technique is NOT recommended to protect against CAPEC-560 attacks?  **Options:** A) Leverage multi-factor authentication. B) Implement an intelligent password throttling mechanism. C) Reuse local administrator account credentials across systems. D) Create a strong password policy and enforce it.  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	C
https://cwe.mitre.org/data/definitions/161.html	What is the main consequence of the CWE-161 weakness?	Denial of Service	Unexpected State	Privilege Escalation	Code Execution	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is the main consequence of the CWE-161 weakness?  **Options:** A) Denial of Service B) Unexpected State C) Privilege Escalation D) Code Execution  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	A
https://cwe.mitre.org/data/definitions/512.html	In which phase is it recommended to use spyware detection and removal software to mitigate CWE-512 vulnerabilities?	Design	Implementation	Operation	Testing	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In which phase is it recommended to use spyware detection and removal software to mitigate CWE-512 vulnerabilities?  **Options:** A) Design B) Implementation C) Operation D) Testing  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	B
https://attack.mitre.org/techniques/T1001/	In the context of MITRE ATT&CK and ID T1001, which of the following is a method used by adversaries to obfuscate command and control traffic?	Using Tor for encrypted communication	Adding junk data to protocol traffic	Utilizing multi-factor authentication	Deploying sandboxing solutions	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the context of MITRE ATT&CK and ID T1001, which of the following is a method used by adversaries to obfuscate command and control traffic?  **Options:** A) Using Tor for encrypted communication B) Adding junk data to protocol traffic C) Utilizing multi-factor authentication D) Deploying sandboxing solutions  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	C
https://attack.mitre.org/techniques/T1614/001/	Which malware attempts to identify Japanese keyboards via the Windows API call GetKeyboardType?	Clop	DropBook	Neoichor	Misdat	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which malware attempts to identify Japanese keyboards via the Windows API call GetKeyboardType?  **Options:** A) Clop B) DropBook C) Neoichor D) Misdat  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	C
https://attack.mitre.org/techniques/T0881	Which adversary tool is known to terminate specified processes and rename them to prevent restart, as part of the MITRE ATT&CK technique T0881?	EKANS	REvil	KillDisk	Industroyer2	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which adversary tool is known to terminate specified processes and rename them to prevent restart, as part of the MITRE ATT&CK technique T0881?  **Options:** A) EKANS B) REvil C) KillDisk D) Industroyer2  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	A
https://attack.mitre.org/techniques/T1560/002/	Which group, as per MITRE ATT&CK technique T1560.002, has used RAR to compress, encrypt, and password-protect files before exfiltration? (Enterprise)	Threat Group-3390	Cobalt Group	Lazarus Group	Mustang Panda	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which group, as per MITRE ATT&CK technique T1560.002, has used RAR to compress, encrypt, and password-protect files before exfiltration? (Enterprise)  **Options:** A) Threat Group-3390 B) Cobalt Group C) Lazarus Group D) Mustang Panda  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	D
https://attack.mitre.org/techniques/T1617/	Which mitigation strategy is recommended for detecting devices compromised through T1617 Hooking?	M1005 Use TLS/SSL for network communication	M1013 Evasion Detection Analysis	M1002 Attestation	M1011 Thread Analysis	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which mitigation strategy is recommended for detecting devices compromised through T1617 Hooking?  **Options:** A) M1005 Use TLS/SSL for network communication B) M1013 Evasion Detection Analysis C) M1002 Attestation D) M1011 Thread Analysis  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	C	D
https://attack.mitre.org/techniques/T1071/001/	What is an example of a mitigation strategy to defend against T1071.001?	OS Level Rights Management	Network Intrusion Prevention	System Memory Scanning	Code Signing Verification	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** What is an example of a mitigation strategy to defend against T1071.001?  **Options:** A) OS Level Rights Management B) Network Intrusion Prevention C) System Memory Scanning D) Code Signing Verification  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	B	A
Manual	Mr. Bob, a threat analyst, is performing analysis of competing hypotheses (ACH). He has reached to a stage where he is required to apply his analysis skills effectively to reject as many hypotheses and select the best hypotheses from the identified bunch of hypotheses, and this is done with the help of listed evidence. Then, he prepares a matrix where all the screened hypotheses are placed on the top, and the listed evidence for the hypotheses are placed at the bottom. What stage of ACH is Bob currently in?	Diagnostics	Evidence	Inconsistency	Refinement	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Mr. Bob, a threat analyst, is performing analysis of competing hypotheses (ACH). He has reached to a stage where he is required to apply his analysis skills effectively to reject as many hypotheses and select the best hypotheses from the identified bunch of hypotheses, and this is done with the help of listed evidence. Then, he prepares a matrix where all the screened hypotheses are placed on the top, and the listed evidence for the hypotheses are placed at the bottom. What stage of ACH is Bob currently in?  **Options:** A) Diagnostics B) Evidence C) Inconsistency D) Refinement  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	B
https://attack.mitre.org/techniques/T0836	In the Maroochy Water Breach incident, what was the consequence of the adversary altering configurations in the PDS computers?	Release of control systems code	Data exfiltration	Physical damage to devices	Spillage of 800,000 liters of raw sewage	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** In the Maroochy Water Breach incident, what was the consequence of the adversary altering configurations in the PDS computers?  **Options:** A) Release of control systems code B) Data exfiltration C) Physical damage to devices D) Spillage of 800,000 liters of raw sewage  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	D	D
https://attack.mitre.org/techniques/T1087/	Which of the following mitigation strategies helps prevent enumerating administrator accounts through UAC elevation?	M1028 - Operating System Configuration	M1018 - User Account Management	M1050 - Data Masking	M1047 - Audit	You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  **Question:** Which of the following mitigation strategies helps prevent enumerating administrator accounts through UAC elevation?  **Options:** A) M1028 - Operating System Configuration B) M1018 - User Account Management C) M1050 - Data Masking D) M1047 - Audit  **Important:** The last line of your answer should contain only the single letter corresponding to the best option, with no additional text. 	A	D
